id,class_id,amnt_vertices,amnt_faces,water_tight,bounding_box,is_triangle
0,0,1036,1968,1,[0.025    0.025    0.025    0.642549 0.547541 0.975   ],1.0
1,0,894,1640,0,[0.025    0.025    0.025    0.424855 0.384845 0.975   ],1.0
2,0,1011,1849,0,[0.02781075 0.02880329 0.02770385 0.614249   0.5117655  0.971444  ],1.0
3,0,955,1850,1,[0.025    0.025    0.025    0.931406 0.556332 0.975   ],1.0
4,0,1145,1850,0,[0.02699845 0.025      0.02575035 0.556358   0.974795   0.3308005 ],1.0
5,0,1108,1849,0,[0.025      0.04506045 0.0251058  0.60958    0.450597   0.87395675],1.0
6,0,1050,1850,0,[0.0289397 0.0647055 0.0271948 0.664207  0.6999465 0.969625 ],1.0
7,0,1029,2024,0,[0.025    0.025    0.025    0.570829 0.577454 0.975   ],1.0
8,0,1014,1849,0,[0.025    0.025    0.025    0.478489 0.975    0.834222],1.0
9,0,1077,1849,0,[0.025    0.025    0.025    0.830435 0.975    0.482593],1.0
10,0,973,1850,1,[0.025    0.025    0.025    0.894109 0.975    0.222438],1.0
11,0,931,1850,1,[0.025    0.025    0.025    0.975    0.50912  0.100962],1.0
12,0,1024,2000,0,[0.025    0.025    0.025    0.975    0.377544 0.563472],1.0
13,0,818,1849,0,[0.025    0.025    0.025    0.553288 0.177515 0.975   ],1.0
14,0,891,1681,0,[0.025    0.025    0.025    0.975    0.715939 0.773575],1.0
15,0,931,1850,1,[0.025    0.025    0.025    0.975    0.416924 0.503842],1.0
16,0,951,1849,0,[0.02817187 0.02851413 0.0263116  0.97086562 0.270136   0.7170785 ],1.0
17,0,989,1850,0,[0.025     0.0287592 0.025     0.975     0.293446  0.654721 ],1.0
18,0,1013,1850,1,[0.02617814 0.025      0.025      0.9740715  0.423463   0.785525  ],1.0
19,0,1182,1850,0,[0.02719248 0.03045607 0.025      0.97246325 0.346508   0.635346  ],1.0
20,0,1013,1850,0,[0.025    0.025589 0.025    0.975    0.418053 0.928792],1.0
21,0,1147,2224,0,[0.025    0.025    0.025    0.975    0.524133 0.828255],1.0
22,0,948,1850,1,[0.025    0.025    0.025    0.975    0.42875  0.684062],1.0
23,0,948,1850,0,[0.025    0.025    0.025    0.475631 0.425936 0.975   ],1.0
24,0,946,1850,0,[0.025   0.025   0.025   0.975   0.42875 0.85625],1.0
25,0,1249,2494,0,[0.025    0.025    0.025    0.817473 0.502402 0.975   ],1.0
26,0,1036,1850,0,[0.025      0.025      0.02725225 0.845772   0.42266806 0.9721395 ],1.0
27,0,642,1848,0,[0.025    0.025    0.025    0.925179 0.906447 0.975   ],1.0
28,0,948,1850,0,[0.025      0.0259963  0.02551497 0.468681   0.577269   0.975     ],1.0
29,0,936,1849,0,[0.025    0.025    0.025    0.346738 0.914682 0.974756],1.0
30,0,907,1850,0,[0.025    0.025    0.025    0.35945  0.524749 0.975   ],1.0
31,0,940,1849,0,[0.025      0.0256024  0.025      0.500847   0.975      0.51378025],1.0
32,0,1129,2246,1,[0.025    0.025    0.025    0.382772 0.658333 0.975   ],1.0
33,0,987,1850,0,[0.02775907 0.02730765 0.025      0.53385662 0.6918885  0.97221   ],1.0
34,0,926,1848,1,[0.025    0.025    0.025    0.975    0.257154 0.544293],1.0
35,0,699,1394,1,[0.025    0.025    0.025    0.792373 0.63608  0.975   ],1.0
36,0,990,1849,0,[0.025    0.025    0.025    0.944541 0.808922 0.975   ],1.0
37,0,927,1850,1,[0.025    0.025    0.025    0.975    0.437258 0.746203],1.0
38,0,924,1849,0,[0.025    0.025    0.025    0.975    0.260681 0.292609],1.0
39,0,649,1156,0,[0.025    0.025    0.025    0.883574 0.975    0.259557],1.0
40,0,903,1850,0,[0.025      0.02615481 0.025      0.975      0.284845   0.347879  ],1.0
41,0,899,1850,0,[0.02822985 0.0253907  0.025      0.97177    0.146167   0.467716  ],1.0
42,0,897,1849,0,[0.04740302 0.025      0.025      0.89105044 0.210109   0.497043  ],1.0
43,0,912,1846,0,[0.025    0.025    0.025    0.927106 0.606166 0.975   ],1.0
44,0,927,1850,1,[0.025    0.025    0.025    0.975    0.458833 0.2663  ],1.0
45,0,931,1850,1,[0.02521233 0.0259415  0.02547606 0.97488475 0.290051   0.484854  ],1.0
46,0,842,1826,0,[0.025    0.025    0.025    0.975    0.322111 0.704876],1.0
47,0,973,1850,0,[0.025    0.025    0.025    0.695803 0.148154 0.975   ],1.0
48,0,953,1850,0,[0.025    0.025    0.025    0.488025 0.456093 0.975   ],1.0
