id,surface_area,compactness,sphericity,volume,diameter,rectangulairty,eccentricity,curvature,A3,D1,D2,D3,D4
0,0.656888566136094,2.054621918780647,0.4867075498705223,0.12656603101205882,1.0,0.45359062312932985,6.581440727230482,[  3  22 100 180 262 512 443 405],[11845 11454  8060  5749  4675  4161  2820  1075],[ 2386  6104  5606  8238 15824  5290  2324  4067],[ 4577  9679 10814 11340  7618  3713  1531   567],[10169  7730  7320  5973  4684  3579  2850  7534],[ 6216 13699 14003  9874  4257  1416   338    36]
1,0.5551998060186448,2.0082264488622212,0.4979518124395578,0.07801187177890351,1.0,0.5053333755758413,0.10656786029377305,[ 98 109 211 118 209  68 546 631],[12388 11121  7554  5991  4818  3949  2887  1139],[ 6216 12519  9045  6033  7997  5197  1918   922],[ 7587 14955 13644  8234  3065  1377   816   169],[18516 14156  8155  4566  2308  1162   584   400],[ 4204 14270 15942 10118  4055  1033   198    27]
2,0.6214913985268791,1.9995991682388048,0.5001002280275872,0.1192900193984622,1.0,0.4702157832348597,8.327080076996566,[ 31  75 272 367 246 226 164 603],[12382 11879  7148  5227  4640  4215  3197  1173],[ 7897 10349  6721  9066  9342  2516  2116  1854],[ 7060 13229 13537  8789  4804  1730   581   131],[14619 12164  8023  5398  3645  2259  1497  2256],[ 6716 18135 14527  7259  2508   624    84     8]
3,0.7667956789315233,1.9659171641023236,0.5086684313357728,0.18239132743393055,1.0,0.36371065831017513,3.4074813245003526,[ 22  46  89  66  40 170 517 904],[10110 11743  9594  6462  4769  4010  2339   814],[2487 4569 4473 9486 8455 6298 5345 8728],[3095 8089 9687 9886 8746 6497 3175  666],[ 6449  7231  7038  5792  4743  3934  3091 11563],[ 4815 14545 15893  9529  3784  1060   203    12]
4,0.4079745960785404,2.5276444612929256,0.39562526111306257,0.070231041718861,1.0,0.4043919206866002,8.844223529107506,[134 230 430 244 369 312 191 190],[11937 11720  7795  5754  4618  3870  2923  1245],[ 9000  9222 13176  8750  4436  1885  1748  1645],[ 5392 13077 13261  9320  5312  2394   950   156],[14029 12472  8383  5463  3647  2336  1395  2137],[ 4014 14065 15612 10004  4402  1360   356    49]
5,1.2222632537567732,1.9683493738336844,0.5080398903230962,0.1861827357984664,1.0,0.5128695654256671,5.707845176278345,[ 34  39  37 162 427 311 481 652],[ 9252 12744  9530  6927  4958  3526  2117   818],[ 2956  8201 11120 11175 10746  2714  1903  1057],[ 4736 14763 14199  9571  4547  1639   375    42],[ 9458 11852  9037  6462  4509  3018  2021  3515],[ 4164 16331 17266  8903  2618   530    57     3]
6,1.8535267786197527,1.6746398620802054,0.5971433157919812,0.2909167872011972,1.0,0.6208865573832737,4.210446448624966,[  4  17 120 292 328 284 524 461],[ 8769 12724  9819  7368  5150  3341  1986   711],[1413 5121 9894 9057 9861 7558 4797 2167],[ 3219 10657 13552 11332  6770  3518   786    34],[ 4770  7085  7249  6533  5591  4536  3561 10543],[ 3293 13563 16613 11006  4243  1002   142     6]
7,1.0438713245763156,1.708685660242816,0.5852451526150767,0.10774070647641115,1.0,0.42220261051773017,0.13521574101146075,[   1    0   99  197  136 1322  133    8],[10542 10155  8932  8736  5704  3152  1951   667],[  924  2958  4532  3636 11752 14419  9670  1948],[ 8046 17262  9401  5311  3387  2946  3082   404],[16684 12853  6405  4417  2966  2147  1800  2567],[ 4112 13985 14923  9715  5042  1731   315    16]
8,1.5344404960337457,1.9639408145129684,0.5091803136888251,0.18731534245243775,1.0,0.45414695741960753,3.979738718697533,[ 24 287 871 259  37   7   3   2],[ 9424 12053  8976  7667  5422  3497  1997   745],[3168 8258 9131 8104 9161 4155 5303 2501],[ 4280 11946 12566 10237  7373  2596   473   310],[6519 7630 7619 6589 5560 4344 3196 8324],[ 3762 13837 16118 10897  4122   893   138    14]
9,0.6612600937096115,2.310619872179065,0.43278429829175447,0.1354708435443658,1.0,0.24477882749551,204.90318478545882,[  16    0  133  252   92   48  199 1273],[11891 11844  7418  5854  4733  4009  2756  1326],[ 3011  4996  8260 12889 17037  1926  1483   229],[ 5572 11594 12881  8711  6080  3008  1874   111],[15605 11485  7939  4762  3128  2221  1608  3083],[10222 17997 13083  5966  1972   502    81     8]
