id,surface_area,compactness,sphericity,volume,diameter,rectangulairty,eccentricity,curvature,A3,D1,D2,D3,D4
0,-0.5831101237599364,-0.044829764585705416,0.07133068861656343,-0.039330411355443816,1.0,-0.10968426285253847,-0.026310896738086845,[  3  22 100 180 262 512 443 405],[11871 11335  8000  5736  4745  4117  2946  1092],[ 2283  6080  5658  8386 15850  5245  2374  3966],[ 4717  9739 10818 11171  7455  3862  1498   582],[10272  7834  7009  6138  4530  3649  2826  7584],[ 6056 13523 13427  9884  4899  1575   418    60]
1,-0.640929707210612,-0.04465352141770699,-0.00911206759266682,-0.41532370871689095,1.0,0.09699936863970546,-0.026488888902837817,[ 98 109 211 118 209  68 546 631],[12300 10978  7711  6014  4780  4018  2915  1136],[ 6157 12722  9005  5983  8014  5172  1814   985],[ 7481 14871 13645  8298  3089  1411   893   164],[18453 14253  8239  4427  2323  1130   587   440],[ 4990 16328 16309  8776  2874   501    66     8]
2,-0.6032367285502269,-0.044843715421784204,0.08194530392942201,-0.09567433001129967,1.0,-0.04327595826335042,-0.02626290967592754,[ 31  75 272 367 246 226 164 603],[12640 11734  7240  5179  4588  4207  3076  1167],[ 7827 10449  6542  9166  9360  2545  2115  1827],[ 6934 13206 13607  8837  4741  1788   579   139],[14598 11994  7919  5313  3757  2413  1509  2328],[ 5462 17399 14909  8062  3029   799   147    24]
3,-0.5206176371492386,-0.04489977675486049,0.1376353563876199,0.3929690581307191,1.0,-0.4687049304604606,-0.026398147857380396,[ 22  46  89  66  40 170 517 904],[10285 11658  9543  6547  4860  3779  2342   835],[2460 4632 4517 9448 8498 6270 5443 8581],[3095 7970 9794 9944 8724 6559 3132  631],[ 6569  7394  6728  5699  4730  3883  3171 11675],[ 3858 13091 15422 10617  4907  1543   365    46]
4,-0.7246410269508007,-0.04489615576761167,0.13322780679395066,-0.4755768362900844,1.0,-0.3062058239365052,-0.026248693569384654,[134 230 430 244 369 312 191 190],[12136 11576  7618  5606  4577  3858  3095  1383],[ 8807  9513 13040  8791  4435  1811  1770  1682],[ 5219 12768 13255  9502  5448  2448  1009   200],[14164 12684  8169  5446  3570  2289  1331  2196],[ 3794 13542 15441 10278  4652  1636   434    72]
5,-0.2616416655544536,-0.04423843367605722,-0.07275349241781164,0.4223289349186215,1.0,0.1271022721794259,-0.026334911597749158,[ 34  39  37 162 427 311 481 652],[ 9514 12621  9509  6899  5041  3363  2116   776],[ 3028  8061 11374 10992 10779  2665  1921  1019],[ 4614 14683 13970  9713  4705  1701   396    57],[ 9489 11786  9167  6568  4481  2952  1995  3401],[ 4115 14795 16828  9705  3479   786   122     9]
6,0.09729076722402112,-0.043856987352064135,-0.09461101378645012,1.2333676173894284,1.0,0.5585703156265772,-0.026376074605349104,[  4  17 120 292 328 284 524 461],[ 8756 12827  9903  7193  5102  3451  1953   664],[1449 5189 9802 8875 9989 7579 4792 2174],[ 3219 10675 13382 11390  6806  3491   841    45],[ 4649  7034  7260  6551  5475  4608  3649 10623],[ 2849 12608 16337 11626  4888  1331   195    15]
7,-0.3630741839986094,-0.04347245329795413,-0.10645605211305538,-0.18510980405521804,1.0,-0.2350619848551713,-0.026488101381845628,[   1    0   99  197  136 1322  133    8],[10780 10223  8640  8691  5721  3156  1929   717],[ 1017  2897  4739  3582 11694 14425  9443  2060],[ 7795 16610  9934  5419  3439  2954  3130   576],[16774 12819  6393  4486  2905  2191  1742  2547],[ 4236 14130 15173  9656  4877  1553   224     8]
8,-0.08413966739469865,-0.043388298606984725,-0.10835029457902977,0.4310996049737911,1.0,-0.1074620155618263,-0.026382416686362656,[ 24 287 871 259  37   7   3   2],[ 9342 12093  9123  7772  5364  3357  2022   708],[3032 8056 9431 8183 9181 4091 5290 2517],[ 4314 11724 12568 10288  7168  2905   479   335],[6546 7702 7629 6355 5461 4248 3303 8537],[ 3472 13248 16119 11098  4603  1038   188    15]
9,-0.5806245009334611,-0.04486254739257181,0.09803749971345524,0.029626602405827363,1.0,-0.9437717085219236,-0.02085909602052131,[  16    0  133  252   92   48  199 1273],[12132 11739  7520  5696  4665  3932  2870  1278],[ 2895  5025  8178 13083 17068  1841  1493   249],[ 5936 12259 13241  8888  5470  2575  1440    23],[15799 11451  7813  4911  2987  2161  1564  3146],[10294 18017 13201  5736  1974   513    86    11]
10,-0.3223604094186819,-0.04044656427584134,-0.13177484218880786,-0.4712700027246486,1.0,-0.8048800411414526,-0.02391734722087965,[  9  46 125  97 443  28 118 496],[13797  9738  7024  5799  4806  4104  3374  1137],[19388  5044  5373  4093  7360  5499   922  2100],[10632  9926 11301 10411  3762  2455  1006   286],[19713  6491  5175  4660  3835  2772  1998  5135],[11632 17410 10484  5093  3354  1486   294    26]
11,-0.6031037639652481,-0.016433411830072797,-0.1433732019099325,-0.9272932427137812,1.0,-0.7612031387670328,-0.02648590821167704,[ 37  36  50 228 607 853  53  16],[13345  9179  8324  6039  4676  4004  2812  1465],[ 4769 16748  3257  1595 15404  3966  1488  2617],[10925  7199 12981 13884  2972  1145   622   116],[23983  7793  5356  3802  2792  3222  1606  1290],[ 5312 13739 12668  9135  5611  2410   854   115]
12,-0.6209323895250142,-0.0445546231798268,-0.03262418354588627,-0.4167559502109351,1.0,-0.4396587592763564,-0.02648142906835881,[143 278 151  45 151 673 317 137],[11029 11119  8675  6699  5231  4061  2239   794],[  930  8378 21095  1930  6377  6612  3656   869],[ 8392 12533  9479 12880  4780  1012   696    75],[18960 10956  6517  4790  2778  1804  1494  2548],[ 5915 15900 14240  8022  3569  1638   473    90]
13,-0.7332543698110281,-0.043866493774361706,-0.09422677674731418,-0.7988068895886458,1.0,-1.2256656826094952,-0.026484034844009324,[485   2  29  22  51  32  56 947],[13043 10090  7592  6108  4771  3883  3082  1237],[ 1468 13428 16911 12226  4433   470   456   414],[24995 13421  6951  3410   926    84    14     5],[41600  5180  1601   701   364   169   110    81],[16449 20575  8563  2909   948   280    66    16]
14,-0.4539363281880524,-0.044723246147477067,0.014355270686618791,0.2946257747508816,1.0,-1.0341938212965478,-0.026466521404337848,[  8  53 328 317 241 163 443 377],[12267 10829  7550  6423  5127  3888  2650  1117],[11615 18434  8469  5293  4532   685   428   395],[13218 14719 11665  7609  2195   298   128    19],[20929 11567  6381  3826  2390  1625  1093  2040],[10514 19535 12133  5184  1815   515   134    21]
15,-0.6030593844225082,-0.01646103751481679,-0.14337102256650722,-0.9272314996133779,1.0,-0.7610460545264685,-0.02648590874319806,[ 76 139 669 412 380 151  35  19],[13483  8930  8042  6109  4976  4049  2838  1421],[ 5247 19161  3622  1510 15626  2197  1097  1388],[12646  8363 12456 12695  2695   657   296    40],[26913  7933  4835  3427  2233  2600  1070   837],[ 6042 14240 12822  8966  4788  2164   768    58]
16,-0.7328333635018951,-0.04501168774710256,0.4081536036336738,-0.2932633616085244,1.0,-0.01351162799993325,-0.026476998355080227,[ 63 211 244 106 193 140 143 803],[ 9715 12246  9306  6822  5163  3795  2075   723],[ 8174 23485  8959  3973  2948  1460   407   439],[13605 18219 12199  4077  1357   317    62     9],[23964 12117  6471  3633  1748   878   444   590],[ 6558 17105 13985  7567  3326  1088   201    15]
17,-0.7427272607101735,-0.045043741186690515,0.61666082620821,-0.22332926386283755,1.0,-0.2100234969277179,-0.02648236390500741,[ 84 225 133  55 153 805   4  89],[ 9737 10935  9212  7800  6018  3704  1843   560],[  879 16022   752  1078 28255     0     0  2823],[ 8540  4291 20882  7668  6796   636   934    62],[16655  7571  4775  6725  6318  4180  1471  2114],[ 8274 16221  9473  7833  5835  1973   187    13]
18,-0.6636625097035022,-0.04507151092925448,0.9856913658494758,0.5351725432990285,1.0,-0.32879316075743914,-0.02645651192225956,[ 12  61 188 361 145 267 718 211],[11297 11403  8597  6394  4926  3694  2625   907],[ 7342 13917  6329  3565  1792  4445  4739  7714],[ 5834 10357  9206 10643  8181  3190  1383  1049],[11286  9424  6801  4812  3776  3125  2414  8205],[ 5961 15309 14221  8463  4050  1426   349    64]
19,-0.5029044712358524,-0.04431961044254905,-0.06544281475357648,-0.2216838785197577,1.0,-0.9081070516635008,-0.026490133573435614,[ 34 343 567  19 143 335 581 176],[10003 12663  8472  6450  5328  4004  2200   755],[ 3989  7069  5244 11269 14403  1127  2964  3810],[ 4711  9395 16269  8952  6473  2476  1319   280],[10843 10224  9121  6976  4444  2916  1974  3377],[ 3338 12872 15549 11321  5152  1363   251    29]
20,-0.3975656721558399,-0.044811086413877,0.058578406441605786,0.7217718349265455,1.0,-0.13206931785287848,-0.02647831841266763,[229 414  42  92 120  82  30 615],[10798 10405  9143  7156  5664  3636  2250   791],[ 4026 29081  7336  1243  1952  3625  1078  1502],[15485 12148 10357  7972  2833   727   210   111],[24230  9660  4778  3040  2574  2042  1261  2258],[18052 18533  8604  3276  1184   169    21     4]
21,-0.3389931136498019,-0.044895357888903135,0.13227498845302246,1.339246033914565,1.0,0.3033875718770541,-0.026442536310307255,[359 353 115  36  10 345 569 120],[10986  9924  9379  7613  5542  3654  2053   685],[ 3897 19732 11337  7218  5467  1872   272    41],[13438  8419 14653 10414  2321   500    82     9],[19494  9505  4408  3290  3235  2839  2080  4985],[10100 17405 11524  5936  3020  1482   336    33]
22,-0.3527209770280036,-0.04446415284504784,-0.04800522472091796,0.33221875646589805,1.0,0.4101600563257143,-0.026478455415460848,[  1 262 795 634  27  11  12 157],[14864  5395  7027  9209  6843  3751  2127   630],[ 1746   652  1143 44100   200   589  1021   395],[37859  2963  3777  1874  2131   972   255    15],[43852  3726  1060   309   221   207   133   338],[40268  7897  1226   336    78    22    12     7]
23,-0.6231981429985292,-0.044835442121863175,0.07552869488551958,-0.18485005327673146,1.0,0.3343230748196593,-0.02642689298292631,[  70  111  105   29   43   63   28 1327],[10442 12167  8663  6439  5165  3807  2310   855],[ 4826 13332 14175  9009  3047  2324  1544  1591],[ 6042 15514 14033  8403  3369  1752   670    65],[13351 13721  9258  5828  3392  1850  1015  1433],[ 3590 13360 16090 11106  4370  1106   195    31]
24,-0.28062683154286866,-0.044392184636231284,-0.057542788783488,0.5011499201332213,1.0,0.17650453721017406,-0.026484437321029702,[ 56 133  98 165  99  70 277 998],[12337 11717  7300  5458  4353  4169  3296  1213],[ 5122 10332  7908  5350  6978  6313  6193  1647],[ 5382 10341 10369 10256  7287  3437  1927   844],[11878  9711  7079  5099  4005  3121  2319  6631],[ 6342 17481 14290  7573  3167   857   121    12]
25,-0.7176475496251585,-0.04511319552914445,3.993551989387146,1.17132753618482,1.0,0.3350333827029873,-0.02647644491177388,[584   8  14  23  53  95 377  95],[11086 10545  9295  6855  5254  3764  2123   830],[17906 16744  7402   806  4689    77  2038    90],[15568 14583 11471  5366  1922   735   100     7],[25113  8710  5274  3783  2459  1483  1064  1866],[14972 18479  9717  4310  1743   476    50     5]
26,-0.4951378731614878,-0.04477222434316815,0.036326471861653546,0.21323784820266234,1.0,-0.4088737476274073,-0.02640956815801456,[125  79  25 136  61 579 654 330],[ 8647 12952 10151  7028  4917  3572  1988   586],[ 4247  8584 10898  9892  8165  2962  2679  2414],[ 3330  9316 13624 11546  6693  3666  1115   551],[7180 7114 8014 7024 5460 4070 2845 8134],[ 3246 10174 12732 12493  7801  2725   582    88]
27,1.2829190191604236,-0.034784410203602505,-0.13936121737196272,1.427530559020138,1.0,-0.29469704833723426,-0.02642321399915944,[454 127  13 268 185 316  96   3],[12868  7155  8660  8654  5925  3918  1942   659],[ 1164  4188  4181  6679 31615  1268   577   109],[19903 10550  3207  2850  5987  4344  2633   307],[28578  4287  5155  3417  2085  1556  1045  3658],[28012 12232  6508  2140   662   190    30     7]
28,-0.3380175489713332,-0.04149904284781777,-0.12775612493554606,-0.41976183553751056,1.0,-0.4844012190230811,-0.026490492465548948,[171  22  20 101 391 866 253  89],[ 9350 11776  9652  7491  5407  3477  2116   573],[ 3495  9512 14658  7147  5023  1610  6245  2152],[ 4986  9375 13059 12260  6664  2235   660   603],[10129  9437  8419  7393  5076  3491  2374  3523],[ 2390  8845 12006 11846  8752  4537  1293   173]
